tcin,title,url,brand,breadcrumb,leaf_category,price,original_price,discount_percent,is_on_sale,rating,review_count,bought_recently,is_new,colors,selected_color,images,description,feature_bullets,material,dimensions,dimensions_raw,bag_structure,interior_features,exterior_features,closure_type,handle_type,fabric_name,care_instructions,origin,upc,dpci,specs,in_stock,scraped_at
94412115,Champion Harbor Tote Bag - Navy,https://www.target.com/p/champion-harbor-tote-bag/-/A-94412115?preselect=94150248#lnk=sametab,Champion,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Totes",Totes,19.99,0.0,0.0,False,4.7,92,,False,Black | Navy Blue,,https://target.scene7.com/is/image/Target/GUEST_d32a4d82-9c78-4179-8a66-778e990691ca?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_37617712-6e87-450b-a175-c9333f0ad909?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_97830b17-76cf-4443-a5a7-de90549f1a02?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_05979035-5a10-414d-ad3a-4b92ed378306?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/baseswatch?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_5f08ea16-a3ef-4a33-ac0a-4b44c2f62d01?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c1b6a321-1091-46aa-a1b9-99cf61a50707?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_6f27549b-33fb-47bd-a4b5-b91338f65b50?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_b331cf96-b836-4b89-8e45-004adce15546?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_3d0f7c8d-d029-45ae-80ab-c10862495685?wid=1200&hei=1200&qlt=85,Double handle; Interior zip pocket; Key clip; Interior mesh pocket with zipper; Interior water bottle pocket; Embroidered logo,,Polyester,"{""H"": ""14"", ""W"": ""21"", ""D"": ""6.5""}",14 Inches (H) x 21 Inches (W) x 6.5 Inches (D),Softside,"Mesh Pocket, Bottle Pocket, Key Clip, Zip Pocket",No Compartments or Pockets,"Open, No Closure","Web Handle, Double Shoulder Handles",Woven,Spot or Wipe Clean,Imported,197057634903,069-11-4517,"{""Dimensions (Overall)"": ""14 Inches (H) x 21 Inches (W) x 6.5 Inches (D)"", ""Shell Material"": ""Polyester"", ""Bag Structure"": ""Softside"", ""Interior Features"": ""Mesh Pocket, Bottle Pocket, Key Clip, Zip Pocket"", ""Exterior Features"": ""No Compartments or Pockets"", ""Main Compartment Closure"": ""Open, No Closure"", ""Handle Type"": ""Web Handle, Double Shoulder Handles"", ""Fabric Name"": ""Woven"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""Street Date"": ""August 3, 2025"", ""TCIN"": ""94150248"", ""UPC"": ""197057634903"", ""Item Number (DPCI)"": ""069-11-4517"", ""Origin"": ""Imported""}",True,2026-02-23T11:56:34.327491
94585304,"Champion Method 24"" Duffel - Navy",https://www.target.com/p/champion-method-24/-/A-94585304?preselect=94371535#lnk=sametab,Champion,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Weekender Bags",Weekender Bags,34.99,0.0,0.0,False,4.8,5,,False,Black | Navy,,https://target.scene7.com/is/image/Target/GUEST_058d28bb-a022-4172-889a-ccc32ff6302d?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_8e87eda4-8c20-4dc2-b4b1-bfab39f5187c?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_b8f15a5d-0327-4b09-80dd-e1af59b4daca?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c81170e1-1732-4df4-b6ff-54cf91aed71a?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_fed28ff2-ac59-4031-a172-c6456999165f?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_86838332-1144-49ee-b681-ec6a78e1e302?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_780e8259-4049-4c34-88f7-6eedd1640dc4?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c633ac76-0280-4772-b245-980b59f2dd5f?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_0bf12d35-da90-462f-870b-0db356c7bdc1?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_253d63cc-7a0c-471c-a8d4-31a8f92b1ede?wid=1200&hei=1200&qlt=85,"Put your old duffels in storage: the CHAMPION Method Duffel is about to take over. Expertly crafted, this durable, high-performance duffel is perfect for long weekends with 11” of depth to maximize packing capacity. With plenty of space for shoes, water bottles, and all your essentials, this favorite duffel is the complete package for packing.",,,"{""H"": ""12"", ""W"": ""24"", ""D"": ""11""}",12 Inches (H) x 24 Inches (W) x 11 Inches (D),,,,,,,,Imported,197057636259,069-11-7544,"{""Dimensions (Overall)"": ""12 Inches (H) x 24 Inches (W) x 11 Inches (D)"", ""Weight"": ""2 Pounds"", ""Warranty"": ""2 Year Limited Warranty. To obtain a copy of the manufacturer's or supplier's warranty for this item prior to purchasing the item, please call Target Guest Services at 1-800-591-3869"", ""TCIN"": ""94371535"", ""UPC"": ""197057636259"", ""Item Number (DPCI)"": ""069-11-7544"", ""Origin"": ""Imported""}",True,2026-02-23T11:56:34.327491
94935160,Champion Handbag Unstructured Tote Bag - Pink Vertical Stripe,https://www.target.com/p/champion-handbag-unstructured-shopper-tote-bag/-/A-94935160?preselect=94835136#lnk=sametab,Champion,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Totes",Totes,19.99,0.0,0.0,False,5.0,1,,False,Black Vertical Stripe | Blue | Pink Vertical Stripe,,https://target.scene7.com/is/image/Target/GUEST_0b020dfe-ec13-4bf5-8c6a-64a974445c70?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_ad949868-4594-499a-873a-0bb408b9bf9f?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_6f7e226d-e817-404a-b1b9-a61ad4dcb810?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_a9ab93d2-a778-48b0-bec2-39ec28602298?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_b90cbbb1-dbb3-4475-8b0e-0f6056fe74e1?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_038868f8-d22d-4646-bc8f-30fe665567be?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_cfdc9a59-c94e-453d-8504-59f819cff279?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f134a263-19bd-4998-ab0f-642758f85efd?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_3b69703b-2d5e-43e2-95ef-da0e4085a34c?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f0b56047-244c-4260-b376-a3e5ff08bbab?wid=1200&hei=1200&qlt=85,,,Canvas,"{""H"": ""14"", ""W"": ""14"", ""D"": ""5""}",14 Inches (H) x 14 Inches (W) x 5 Inches (D),Unstructured,No Compartments or Pockets,No Compartments or Pockets,"Open, No Closure",Double Strap,Canvas,Spot or Wipe Clean,Imported,197057794652,069-11-0013,"{""Dimensions (Overall)"": ""14 Inches (H) x 14 Inches (W) x 5 Inches (D)"", ""Shell Material"": ""Canvas"", ""Bag Structure"": ""Unstructured"", ""Interior Features"": ""No Compartments or Pockets"", ""Exterior Features"": ""No Compartments or Pockets"", ""Main Compartment Closure"": ""Open, No Closure"", ""Handle Type"": ""Double Strap"", ""Fabric Name"": ""Canvas"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""94835136"", ""UPC"": ""197057794652"", ""Item Number (DPCI)"": ""069-11-0013"", ""Origin"": ""Imported""}",True,2026-02-23T11:56:34.327491
94705891,Kiss Lock Clutch Bag - A New Day™ Black,https://www.target.com/p/kiss-lock-clutch-bag-a-new-day/-/A-94705891?preselect=94687138#lnk=sametab,A New Day,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",Clutches,30.0,0.0,0.0,False,4.4,90,,False,Black | Brown,,https://target.scene7.com/is/image/Target/GUEST_c81ce67f-222a-4e84-967e-6fe3dc83c1fe?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_bc30567f-6c47-4d02-b6ce-a59ad66c248b?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_62892e50-afe0-4d6e-8dec-8f6b2e663cf5?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_9c26ce3e-b739-4d15-ae85-201852781129?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_3b7641a5-9ceb-46cc-b981-305a137809b4?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_6d7ade98-e79b-48a8-b965-72fc3d5ffe51?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_d6dc9cfb-b712-4199-a1c7-824643132338?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_ddd159d3-7634-4993-ab23-dbf704de6eb9?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c6c3cd3f-6c60-4ab2-b35e-5e4ff6a42d81?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_434f0c63-651b-4a09-918e-3dba35c7da99?wid=1200&hei=1200&qlt=85,Twill fabric clutch bag; Kiss lock clasp closure; Main compartment with credit card slip pocket; Kiss lock metal clasp closure; Detachable carrying handle,,Polyurethane,"{""H"": ""7"", ""W"": ""13.5"", ""D"": ""5""}",7 Inches (H) x 13.5 Inches (W) x 5 Inches (D),Unstructured,Credit Card Pockets,Detachable Handle,Kiss Lock Clasp,Carrying Handle,Twill,Spot or Wipe Clean,Imported,199268397820,024-06-4399,"{""Dimensions (Overall)"": ""7 Inches (H) x 13.5 Inches (W) x 5 Inches (D)"", ""Shell Material"": ""Polyurethane"", ""Bag Structure"": ""Unstructured"", ""Interior Features"": ""Credit Card Pockets"", ""Exterior Features"": ""Detachable Handle"", ""Main Compartment Closure"": ""Kiss Lock Clasp"", ""Handle Type"": ""Carrying Handle"", ""Fabric Name"": ""Twill"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""94687138"", ""UPC"": ""199268397820"", ""Item Number (DPCI)"": ""024-06-4399"", ""Origin"": ""Imported""}",True,2026-02-23T11:56:34.327491
94668471,Girls' Valentine's Day Bag Charm - art class™ Gold,https://www.target.com/p/girls-39-valentine-39-s-day-bag-charm-art-class-8482-gold/-/A-94668471#lnk=sametab,Art Class,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Bag Charms & Straps",Bag Charms & Straps,8.0,0.0,0.0,False,5.0,5,,False,,,https://target.scene7.com/is/image/Target/GUEST_2d3b2c85-a032-4da2-9eea-1f1bfb6132ad?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_9ab34a3a-b7b2-455d-9ee6-3c2912a1d528?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_a87428c0-5de1-4060-87f0-5d35bcea4ef4?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_ea3d54bf-a48c-4d44-a064-da2730a1b58d?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_290fba57-c4ee-43e7-bd36-c6f47100a17b?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_1f8d67ee-04b2-43e4-a5f5-d4f962717ae4?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_82a4ee0a-32de-460f-aff5-3e9370d561dc?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_3cffc1bf-7772-486c-8028-4866f9a9fc6e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_efc9533f-1195-47e6-b99a-b675d3128099?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_20aa11c3-f631-4d54-99db-7c200bb28411?wid=1200&hei=1200&qlt=85,Fun Valentine's Day-themed bag charm; Shiny gold finish with heart accents; Easy to clip onto bags or keychains; Great for daily use or gifting,,"Zinc Alloy, Iron, Acrylic","{""L"": ""3.74"", ""W"": ""1.25""}","3.74 Inches (L), 1.25 Inches (W)",,,,Lobster Claw Clasp,,,Care Instructions Not Provided,Imported,199268321696,202-14-9504,"{""Dimensions (Overall)"": ""3.74 Inches (L), 1.25 Inches (W)"", ""Closure Type"": ""Lobster Claw Clasp"", ""Suggested Age"": ""3 Years and Up"", ""CPSC Choking Hazard Warnings"": ""Choking_hazard_small_parts"", ""Package Quantity"": ""1"", ""Material"": ""Zinc Alloy, Iron, Acrylic"", ""Care & Cleaning"": ""Care Instructions Not Provided"", ""TCIN"": ""94668471"", ""UPC"": ""199268321696"", ""Item Number (DPCI)"": ""202-14-9504"", ""Origin"": ""Imported""}",True,2026-02-23T11:56:34.327491
94742366,Simulated Pearl Heart Beaded Mini Tote Handbag - A New Day™ Cream,https://www.target.com/p/simulated-pearl-heart-beaded-mini-tote-handbag-a-new-day-8482-cream/-/A-94742366#lnk=sametab,A New Day,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses",Handbags & Purses,25.5,30.0,15.0,True,5.0,9,,False,,,https://target.scene7.com/is/image/Target/GUEST_b198d847-7a29-4bdd-9459-b44ed8212ca5?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_24db7729-f877-4a0e-acbc-780235a3b4e0?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_826fd762-da69-4013-bbec-58b95fa474cb?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_8f3324fd-3e4f-4582-bb71-2c876da42124?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_41b8a658-d6ad-4483-872f-4e8528d588a6?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f3403b0b-a068-4b32-9e28-8be19a07d529?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_8efe9bb3-b55d-4883-93a1-3c44a625fef8?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f26077dd-b4b6-4e70-a6b6-a1e7fc7c686e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_be2db58a-04bc-481e-80b6-a861d7c6eff6?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_0c398e2f-6465-470d-956b-1fdc1253d34f?wid=1200&hei=1200&qlt=85,Mini tote handbag with simulated pearl beads; Heart-shaped double handles; Hardside woven design; Open main compartment; Plastic shell,,Plastic,"{""H"": ""19"", ""W"": ""24"", ""D"": ""6""}",19 Centimeter (H) x 24 Centimeter (W) x 6 Centimeter (D),Hardside,No Compartments or Pockets,No Compartments or Pockets,"Open, No Closure",Double Handle,Woven,Spot or Wipe Clean,Imported,199268617690,024-06-8346,"{""Dimensions (Overall)"": ""19 Centimeter (H) x 24 Centimeter (W) x 6 Centimeter (D)"", ""Shell Material"": ""Plastic"", ""Bag Structure"": ""Hardside"", ""Interior Features"": ""No Compartments or Pockets"", ""Exterior Features"": ""No Compartments or Pockets"", ""Main Compartment Closure"": ""Open, No Closure"", ""Handle Type"": ""Double Handle"", ""Fabric Name"": ""Woven"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""94742366"", ""UPC"": ""199268617690"", ""Item Number (DPCI)"": ""024-06-8346"", ""Origin"": ""Imported""}",True,2026-02-23T11:56:34.327491
94337711,Champion Method Cross Body Handbag Strap - Beige,https://www.target.com/p/champion-method-cross-body-handbag-strap/-/A-94337711?preselect=94150231#lnk=sametab,Champion,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses",Handbags & Purses,14.99,0.0,0.0,False,4.8,74,,False,Beige | Black | Light Pink | Navy Blue,,https://target.scene7.com/is/image/Target/GUEST_a68c83d3-19fd-4dab-9fa4-8ac2bc972888?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_b03a2262-60a8-4493-9a06-0bf56e0b94ee?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_601a59dd-5cf1-4905-86eb-c8adb403dcf2?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_225d39b7-7261-4fef-8668-91a792cf0d8c?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_d454a583-22e8-456b-a4ba-7a508a74a18c?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_3a28db7b-cfa5-42d6-bff4-cd7658b5d516?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_65b6faa2-9506-4e38-ba26-d0b30c02bd45?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_bb80675e-60aa-4951-9252-2a3e2a781cae?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_d96a2010-6239-407a-a7d0-7440ecaabd38?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_55d9d3c3-51a2-429c-b3d6-eeb1c1ee6117?wid=1200&hei=1200&qlt=85,Removable adjustable strap; Front zipper pocket; Back slip pocket; Interior zip pocket; Mini locker loop; Embroidered logo,,,"{""Overall Width"": ""7 Inches""}",,,,,,,,Spot or Wipe Clean,Imported,197057595648,069-11-0954,"{""Overall Width"": ""7 Inches"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""94150231"", ""UPC"": ""197057595648"", ""Item Number (DPCI)"": ""069-11-0954"", ""Origin"": ""Imported""}",True,2026-02-23T11:56:34.327491
1006075848,Everyday Zip Tote Handbag – Hynes Eagle – Khaki,https://www.target.com/p/hynes-eagle-20l-puffy-tote-bag-lightweight-water-resistant-work-gym-bag-with-laptop-sleeve-luggage-strap-smart-pockets/-/A-1006075848?preselect=1006075852#lnk=sametab,Hynes Eagle,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",Shoulder Bags,36.99,0.0,0.0,False,4.7,15,,False,size15.7 x 5.9 x 11.8 inSize guide,,https://target.scene7.com/is/image/Target/GUEST_6548fe6e-2040-4ef7-bfc3-c0a1d822adad?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_05693398-2db6-4625-8f43-326d9e967e76?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_41aacfe6-8743-48db-8a10-1234f29e5e84?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f4c8192d-eb31-40f1-891b-2c65f76be533?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_4221cdda-80ee-4310-9880-0abe4d355085?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_a16cf154-027d-47b5-a75a-6df9d23746a3?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/baseswatch?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_157344be-4d8b-4a08-b729-76b3e378e306?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_7cd19e32-5ba4-4001-be01-2b7715fb892e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_864879fb-4ad3-4833-80ef-72a6ccc209e7?wid=1200&hei=1200&qlt=85,"Secure 20L zip main compartment; Padded laptop sleeve fits devices up to 15.6""; Rear luggage strap slides over rolling luggage; Handbag + tote hybrid design for versatile daily use; Interior zip + slip pocket for everyday items; Exterior quick-access pockets for phone and bottles; Soft handles for all-day carrying comfort; Two side pockets for up to 32 oz bottle; Water-repellent nylon exterior; Made for work, gym, travel, and everyday errands",,Nylon,"{""H"": ""15.7"", ""W"": ""11.8"", ""D"": ""5.9""}",15.7 inches (H) x 11.8 inches (W) x 5.9 inches (D),Lightweight,Padded Laptop Compartment,Bottle Pocket,Zip Closure,Double Shoulder Handles,Flat,Hand Wash,imported,810192523955,,"{""Dimensions (Overall)"": ""15.7 inches (H) x 11.8 inches (W) x 5.9 inches (D)"", ""Shell Material"": ""Nylon"", ""Bag Structure"": ""Lightweight"", ""Interior Features"": ""Padded Laptop Compartment"", ""Exterior Features"": ""Bottle Pocket"", ""Main Compartment Closure"": ""Zip Closure"", ""Handle Type"": ""Double Shoulder Handles"", ""Fabric Name"": ""Flat"", ""Fits Laptop"": ""Up to 15 Inches"", ""Care & Cleaning"": ""Hand Wash"", ""TCIN"": ""1006075852"", ""UPC"": ""810192523955"", ""Origin"": ""imported""}",True,2026-02-23T11:56:34.327491
94825922,Champion Card Holder and Keychain - Cream,https://www.target.com/p/champion-handbag-organizer/-/A-94825922?preselect=94769843#lnk=sametab,Champion,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses",Handbags & Purses,14.99,0.0,0.0,False,5.0,6,,False,Black | Cream | Light Blue | Navy | Pink,,https://target.scene7.com/is/image/Target/GUEST_74b5c2b0-2c4c-474e-9878-be00850dcd8e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_0711794c-5210-4285-9301-f6948310ce67?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_8a1d89d6-ca2b-49ee-acb8-b089702b85b8?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_27120488-2332-4ab2-9a0a-6a8680571ce4?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_2e59efcf-7c93-4850-89e6-274cc099958e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_12842f19-ed1a-4bfe-a5bf-0741cafedd60?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_4548d4c9-f651-406b-b729-02deed390cfc?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_42026f12-ed2c-48e4-8e8e-e231d32b6ebe?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_68819f64-fa20-492e-8ff7-7930f21faa3c?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_668269bf-9207-4097-a5ea-9504f4240b2a?wid=1200&hei=1200&qlt=85,,,Polyester,"{""L"": ""12"", ""W"": ""6""}","12 Inches (L), 6 Inches (W)",,,,Zipper,,,Spot or Wipe Clean,Imported,197057774142,069-11-9041,"{""Dimensions (Overall)"": ""12 Inches (L), 6 Inches (W)"", ""Closure Type"": ""Zipper"", ""Package Quantity"": ""1"", ""Material"": ""Polyester"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""94769843"", ""UPC"": ""197057774142"", ""Item Number (DPCI)"": ""069-11-9041"", ""Origin"": ""Imported""}",True,2026-02-23T11:56:34.327491
94776901,Quilted Drawstring Tote Handbag - Universal Thread™ Pink,https://www.target.com/p/quilted-drawstring-tote-handbag-universal-thread/-/A-94776901?preselect=94776900#lnk=sametab,Universal Thread,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",Shoulder Bags,35.0,0.0,0.0,False,3.9,11,,False,Black | Pale Blue | Pink | Yellow,,https://target.scene7.com/is/image/Target/GUEST_5e168547-8dac-457c-8f8c-dd363f529a80?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_a22b36d4-9fec-4592-ab7d-18322c98374d?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_1bc25f15-6e08-4dfa-ab9c-12a5cbb710ff?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_9f178582-2246-4ef6-afff-2259542031a3?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_ec9c9dec-b0af-4098-832f-38c1ffc0caec?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/baseswatch?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_e2fdee52-ea75-4a98-a80e-c6e55e51b305?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_6e28e417-8aec-44ea-b229-432f2dc07dd6?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_b4b48298-08c2-40b8-9378-2899e6f695ce?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_82cdaba9-f22f-4474-87a4-351dc54dd45d?wid=1200&hei=1200&qlt=85,Universal Thread quilted tote handbag; Woven with recycled polyester fabric; Interior zip pocket; Double shoulder straps; Drawstring closure,,100% Recycled Polyester,"{""H"": ""14.72"", ""W"": ""19.31"", ""D"": ""5"", ""Maximum Strap Length"": ""11 Inches"", ""Minimum Strap Length"": ""11 Inches""}",14.72 Inches (H) x 19.31 Inches (W) x 5 Inches (D),Softside,Zip Pocket,No Compartments or Pockets,Drawstring Closure,Double Strap,Woven,Spot or Wipe Clean,Imported,199268613777,024-00-9856,"{""Dimensions (Overall)"": ""14.72 Inches (H) x 19.31 Inches (W) x 5 Inches (D)"", ""Shell Material"": ""100% Recycled Polyester"", ""Bag Structure"": ""Softside"", ""Interior Features"": ""Zip Pocket"", ""Exterior Features"": ""No Compartments or Pockets"", ""Main Compartment Closure"": ""Drawstring Closure"", ""Handle Type"": ""Double Strap"", ""Fabric Name"": ""Woven"", ""Maximum Strap Length"": ""11 Inches"", ""Minimum Strap Length"": ""11 Inches"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""94776900"", ""UPC"": ""199268613777"", ""Item Number (DPCI)"": ""024-00-9856"", ""Origin"": ""Imported""}",True,2026-02-23T11:56:34.327491
